PLN,TOO_SHORT
40000728313,TRUE
40000159503,TRUE
40000159502,TRUE
40000159508,FALSE
40000481303,FALSE
40000481302,FALSE
40000664938,TRUE
40000481224,TRUE
40000377786,FALSE
40000550062,FALSE
40000323070,TRUE
40000371811,TRUE
40000383262,TRUE
40000480562,FALSE
40000481304,FALSE
40000481220,TRUE
